IMU												UWB							Encoder Odometry		
.header.stamp.secs	.linear_acceleration.x	.linear_acceleration.y	.linear_acceleration.z	.angular_velocity.x	.angular_velocity.y	.angular_velocity.z	.orientation.x	.orientation.y	.orientation.z	.orientation.w		.header.stamp.secs	range1	range2	range3	range4	range5		.header.stamp.secs	odom.x	odom.y
706263299814	0.397442590152472	-0.507749359923042	-10.7686572950899	-0.028048429245471	-0.017790627645083	-0.426755053086439	-0.621065619299999	0.0421294715	-0.0296081226	0.7820304128		1715156680690767526	5108	4785	3292	3741	4878		1715156742758928678	0.360483127801792	-2.13780113943859
706313272445	0.487937173135206	0.043768122316897	-10.1289495247542	0.022543906218278	0.036701805285952	-0.357221581500151	-0.6188836148	0.0432708277	-0.0321593894	0.783608169899999		1715156680765907526	5070	5028	3292	3811	4954		1715156742778893996	0.372913849180647	-2.14593282640131
706363274134	0.519551952854357	0.014864250090835	-10.339729287219	0.018671676235087	-0.023149317635459	-0.420422721804503	-0.614452467199999	0.0428008575	-0.030883756	0.7871329464		1715156680841283798	5136	5098	3292	3759	4921		1715156742798893794	0.385466692185813	-2.15392257423464
706414388163	0.919917627379298	-0.047179287033831	-10.1919235750615	0.018022484946299	0.010888358043627	-0.367683443657878	-0.610256304699999	0.0417266399	-0.0292388603	0.790523445699999		1715156680917025089	5098	4902	3292	3628	4963		1715156742818896372	0.398120162578269	-2.16175591208273
706466323943	0.811123052269965	-0.008486846846296	-10.1066862550199	0.020779268632262	-0.016030449813595	-0.371870066049537	-0.606227988699999	0.0403838679	-0.0277618111	0.793746098499999		1715156680992632627	5122	4836	3305	3661	4883		1715156742838894713	0.410867851725351	-2.16942885811299
706517271882	0.668179247060418	0.001251825550356	-10.1430657283902	-0.00703110730127	-0.000542360038076	-0.370007484472649	-0.604180261399999	0.0419951943	-0.0296752612	0.7951560091		1715156681068433761	5117	4728	3268	3712	4893		1715156742858895354	0.423711905497507	-2.17694277094787
706567244720	0.489710466418042	-0.173750337285734	-10.2791810027539	-0.013482954178907	0.021156519964834	-0.37745587998841	-0.599883391	0.0414916548	-0.0285003357	0.798479369799999		1715156681143202066	5094	4813	3273	3708	4911		1715156742878910713	0.437093411651741	-2.18454823853837
706620316382	0.501393634220771	-0.169799480768106	-10.521216319704	0.007183944139665	-0.036722827613807	-0.396806774653576	-0.595653659199999	0.0414916548	-0.02685544	0.801702022599999		1715156681219055414	5084	4907	3306	3684	4954		1715156742898922331	0.450526144782284	-2.19205696505691
706670315763	0.946417000313475	-0.255093280237354	-9.95246366155743	0.007464982536074	-0.070294935920969	-0.402719058852579	-0.5912225116	0.0407531302	-0.0248748513	0.805058952599999		1715156681293464660	5108	4944	3282	3656	4944		1715156742918896511	0.46398668766736	-2.19945614190562
706721324263	0.349237690964527	-0.054291397761088	-10.7167166799724	0.004762436830483	0.007643965686678	-0.455748887874132	-0.588033428099999	0.043304397	-0.0278289497	0.807173818499999		1715156681369361877	5108	5019	3282	3792	4916		1715156742938917216	0.477530867624886	-2.20677663397594
