Frame	Time	uav X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		6D X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
35	3.40000	85.63390	0.20913	450.73004	-1.02461	3.81169	1.87320	0.31453	0.99725	0.03149	-0.06702	-0.03262	0.99934	-0.01570	0.06648	0.01784	0.99763		85.63390	0.20913	450.73004	-1.01059	3.79371	1.86116	0.34671	0.99728	0.03131	-0.06669	-0.03241	0.99935	-0.01548	0.06616	0.01760	0.99765	
36	3.50000	87.52201	-6.48717	473.30244	-0.59120	3.41228	1.66779	0.44264	0.99780	0.02849	-0.05979	-0.02905	0.99954	-0.00858	0.05952	0.01030	0.99817		87.52201	-6.48717	473.30244	-0.57729	3.39426	1.65588	0.47487	0.99783	0.02830	-0.05947	-0.02885	0.99955	-0.00836	0.05921	0.01006	0.99820	
37	3.60000	89.62598	-11.40675	492.79552	-0.70542	3.11976	1.44645	0.41413	0.99820	0.02457	-0.05471	-0.02521	0.99962	-0.01093	0.05442	0.01229	0.99844		89.62598	-11.40675	492.79552	-0.69159	3.10170	1.43463	0.46766	0.99822	0.02438	-0.05439	-0.02500	0.99963	-0.01071	0.05411	0.01205	0.99846	
38	3.70000	94.87903	-13.81409	512.41481	-0.43021	3.80009	1.66331	0.32760	0.99738	0.02853	-0.06646	-0.02896	0.99956	-0.00558	0.06628	0.00749	0.99777		94.87903	-13.81409	512.41481	-0.41627	3.78205	1.65130	0.39094	0.99741	0.02834	-0.06614	-0.02875	0.99957	-0.00536	0.06596	0.00725	0.99780	
39	3.80000	99.47646	-12.72713	537.43873	-0.47767	4.49200	1.57476	0.30500	0.99655	0.02683	-0.07852	-0.02740	0.99961	-0.00618	0.07832	0.00831	0.99689		99.47646	-12.72713	537.43873	-0.46373	4.47393	1.56257	0.36377	0.99658	0.02664	-0.07819	-0.02719	0.99961	-0.00596	0.07801	0.00807	0.99692	
40	3.90000	101.45724	-10.67764	566.61302	-0.59602	4.03298	1.83636	0.33225	0.99701	0.03131	-0.07062	-0.03197	0.99946	-0.00814	0.07033	0.01038	0.99747		101.45724	-10.67764	566.61302	-0.58200	4.01498	1.82428	0.40548	0.99704	0.03112	-0.07030	-0.03176	0.99946	-0.00792	0.07002	0.01013	0.99749	
41	4.00000	109.90122	-7.78462	601.37574	-0.98292	5.35195	1.84105	0.27289	0.99513	0.03052	-0.09376	-0.03199	0.99939	-0.01415	0.09327	0.01708	0.99549		109.90122	-7.78462	601.37574	-0.96889	5.33399	1.82865	0.35648	0.99516	0.03033	-0.09344	-0.03177	0.99940	-0.01393	0.09296	0.01684	0.99553	
42	4.10000	119.98924	-1.16551	639.70588	-2.24908	6.84774	1.65061	0.27089	0.99245	0.02411	-0.12022	-0.02860	0.99895	-0.03580	0.11923	0.03896	0.99210		119.98924	-1.16551	639.70588	-2.23506	6.82974	1.63782	0.31103	0.99250	0.02392	-0.11990	-0.02838	0.99896	-0.03559	0.11892	0.03872	0.99215	
43	4.20000	124.42930	5.71874	676.29576	-2.61040	6.91271	1.62937	0.23209	0.99233	0.02293	-0.12148	-0.02823	0.99871	-0.04211	0.12036	0.04521	0.99170		124.42930	5.71874	676.29576	-2.59638	6.89470	1.61656	0.28087	0.99237	0.02275	-0.12115	-0.02801	0.99873	-0.04190	0.12005	0.04497	0.99175	
44	4.30000	125.96786	12.43793	708.45287	-2.40056	6.71233	1.68309	0.27621	0.99272	0.02445	-0.11796	-0.02917	0.99884	-0.03844	0.11688	0.04160	0.99227		125.96786	12.43793	708.45287	-2.38653	6.69434	1.67032	0.27806	0.99276	0.02427	-0.11764	-0.02895	0.99885	-0.03823	0.11657	0.04136	0.99232	
45	4.40000	128.12021	17.10817	736.82132	-1.76160	7.17588	1.74641	0.27524	0.99171	0.02662	-0.12574	-0.03024	0.99918	-0.02692	0.12492	0.03050	0.99170		128.12021	17.10817	736.82132	-1.74753	7.15790	1.73352	0.30337	0.99175	0.02644	-0.12541	-0.03002	0.99919	-0.02671	0.12460	0.03026	0.99175	
46	4.50000	131.17313	16.08255	763.89759	-0.20440	8.29030	1.94921	0.17603	0.98898	0.03350	-0.14423	-0.03366	0.99943	0.00134	0.14419	0.00353	0.98954		131.17313	16.08255	763.89759	-0.19023	8.27236	1.93605	0.20971	0.98903	0.03331	-0.14391	-0.03343	0.99944	0.00154	0.14388	0.00329	0.98959	
47	4.60000	131.53816	13.99209	788.66654	0.36805	8.26256	2.46143	0.22282	0.98871	0.04387	-0.14330	-0.04250	0.99902	0.01259	0.14371	-0.00636	0.98960		131.53816	13.99209	788.66654	0.38238	8.24475	2.44825	0.24614	0.98876	0.04367	-0.14298	-0.04228	0.99902	0.01279	0.14340	-0.00660	0.98964	
48	4.70000	128.22278	13.09028	808.91881	-0.03740	7.29220	1.95338	0.26626	0.99134	0.03400	-0.12688	-0.03381	0.99942	0.00367	0.12693	0.00065	0.99191		128.22278	13.09028	808.91881	-0.02325	7.27425	1.94045	0.29117	0.99138	0.03381	-0.12656	-0.03359	0.99943	0.00388	0.12662	0.00040	0.99195	
49	4.80000	123.32797	11.68538	825.13306	-0.10670	7.29620	1.49426	0.28420	0.99157	0.02584	-0.12700	-0.02587	0.99966	0.00145	0.12700	0.00185	0.99190		123.32797	11.68538	825.13306	-0.09269	7.27815	1.48135	0.30340	0.99161	0.02565	-0.12669	-0.02564	0.99967	0.00166	0.12669	0.00160	0.99194	
50	4.90000	120.94590	11.99265	841.46585	-0.29603	8.82511	1.69702	0.30026	0.98773	0.02882	-0.15350	-0.02926	0.99957	-0.00062	0.15342	0.00511	0.98815		120.94590	11.99265	841.46585	-0.28188	8.80709	1.68371	0.35839	0.98778	0.02863	-0.15318	-0.02904	0.99958	-0.00042	0.15311	0.00486	0.98820	
51	5.00000	115.53815	13.41788	861.62585	-0.12783	9.42582	1.69594	0.28692	0.98607	0.02923	-0.16376	-0.02920	0.99957	0.00262	0.16377	0.00220	0.98650		115.53815	13.41788	861.62585	-0.11365	9.40780	1.68247	0.33165	0.98612	0.02904	-0.16345	-0.02897	0.99958	0.00282	0.16346	0.00196	0.98655	
52	5.10000	107.52265	13.94090	885.95206	0.38620	7.85843	2.26699	0.10774	0.98983	0.04048	-0.13635	-0.03918	0.99916	0.01214	0.13673	-0.00668	0.99059		107.52265	13.94090	885.95206	0.40047	7.84055	2.25393	0.18043	0.98989	0.04028	-0.13603	-0.03896	0.99916	0.01235	0.13642	-0.00692	0.99063	
