Frame	Time	uav X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		6D X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
27	2.60000	12.36384	-4.98294	309.15508	0.02548	0.01244	0.02632	0.10442	1.00000	0.00046	-0.00022	-0.00046	1.00000	0.00044	0.00022	-0.00044	1.00000		12.36384	-4.98294	309.15508	-1.96552	1.94475	-0.67869	0.72375	0.99935	-0.01300	-0.03351	0.01184	0.99933	-0.03470	0.03394	0.03428	0.99884	
28	2.70000	12.39232	-4.97900	309.15618	0.02469	0.01690	0.02719	0.10510	1.00000	0.00047	-0.00029	-0.00047	1.00000	0.00043	0.00030	-0.00043	1.00000		12.39232	-4.97900	309.15618	-1.96633	1.94918	-0.67767	0.72151	0.99935	-0.01299	-0.03358	0.01182	0.99933	-0.03471	0.03401	0.03429	0.99883	
29	2.80000	12.37133	-4.98176	309.15551	0.02107	0.01171	0.02183	0.12174	1.00000	0.00038	-0.00020	-0.00038	1.00000	0.00037	0.00020	-0.00037	1.00000		12.37133	-4.98176	309.15551	-1.96977	1.94421	-0.68323	0.71129	0.99935	-0.01308	-0.03349	0.01192	0.99932	-0.03477	0.03393	0.03435	0.99883	
30	2.90000	12.37869	-4.95723	309.16558	0.01392	0.01091	0.02701	0.10997	1.00000	0.00047	-0.00019	-0.00047	1.00000	0.00024	0.00019	-0.00024	1.00000		12.37869	-4.95723	309.16558	-1.97710	1.94318	-0.67804	0.70908	0.99935	-0.01300	-0.03348	0.01183	0.99932	-0.03490	0.03391	0.03448	0.99883	
31	3.00000	12.37210	-4.99619	309.15767	0.02093	0.01390	0.02673	0.13628	1.00000	0.00047	-0.00024	-0.00047	1.00000	0.00037	0.00024	-0.00037	1.00000		12.37210	-4.99619	309.15767	-1.97012	1.94621	-0.67827	0.71522	0.99935	-0.01300	-0.03353	0.01183	0.99933	-0.03478	0.03396	0.03436	0.99883	
32	3.10000	12.40472	-4.95524	309.15676	0.01334	0.02364	0.02883	0.14833	1.00000	0.00050	-0.00041	-0.00050	1.00000	0.00023	0.00041	-0.00023	1.00000		12.40472	-4.95524	309.15676	-1.97773	1.95595	-0.67580	0.70292	0.99935	-0.01297	-0.03370	0.01179	0.99932	-0.03491	0.03413	0.03449	0.99882	
33	3.20000	12.39291	-4.95577	309.15747	0.01744	0.01577	0.02286	0.16167	1.00000	0.00040	-0.00028	-0.00040	1.00000	0.00030	0.00028	-0.00030	1.00000		12.39291	-4.95577	309.15747	-1.97347	1.94822	-0.68207	0.73331	0.99935	-0.01307	-0.03356	0.01190	0.99932	-0.03484	0.03400	0.03442	0.99883	
34	3.30000	12.32033	-5.00542	309.14420	0.00395	0.01889	0.03715	0.11752	1.00000	0.00065	-0.00033	-0.00065	1.00000	0.00007	0.00033	-0.00007	1.00000		12.32033	-5.00542	309.14420	-1.98743	1.95083	-0.66764	0.69077	0.99935	-0.01283	-0.03361	0.01165	0.99932	-0.03507	0.03404	0.03466	0.99882	
35	3.40000	12.33849	-4.96985	309.18751	0.00708	0.02265	0.03909	0.10623	1.00000	0.00068	-0.00040	-0.00068	1.00000	0.00012	0.00040	-0.00012	1.00000		12.33849	-4.96985	309.18751	-1.98437	1.95452	-0.66556	0.71214	0.99935	-0.01279	-0.03368	0.01161	0.99932	-0.03502	0.03411	0.03461	0.99882	
36	3.50000	12.31020	-4.99866	309.17665	0.01247	0.01661	0.03176	0.09753	1.00000	0.00055	-0.00029	-0.00055	1.00000	0.00022	0.00029	-0.00022	1.00000		12.31020	-4.99866	309.17665	-1.97871	1.94874	-0.67311	0.70919	0.99935	-0.01291	-0.03358	0.01174	0.99932	-0.03493	0.03401	0.03451	0.99883	
37	3.60000	12.30868	-5.01044	309.18045	-0.00076	0.01777	0.03626	0.10865	1.00000	0.00063	-0.00031	-0.00063	1.00000	-0.00001	0.00031	0.00001	1.00000		12.30868	-5.01044	309.18045	-1.99208	1.94971	-0.66854	0.69369	0.99935	-0.01284	-0.03359	0.01166	0.99931	-0.03516	0.03402	0.03474	0.99882	
38	3.70000	12.28349	-5.06895	309.17866	-0.00944	0.02244	0.03163	0.17473	1.00000	0.00055	-0.00039	-0.00055	1.00000	-0.00016	0.00039	0.00016	1.00000		12.28349	-5.06895	309.17866	-2.00065	1.95458	-0.67307	0.69804	0.99935	-0.01293	-0.03367	0.01174	0.99931	-0.03531	0.03411	0.03489	0.99881	
39	3.80000	12.31355	-5.04425	309.16957	-0.00112	0.02759	0.02968	0.16924	1.00000	0.00052	-0.00048	-0.00052	1.00000	-0.00002	0.00048	0.00002	1.00000		12.31355	-5.04425	309.16957	-1.99227	1.95978	-0.67484	0.71346	0.99935	-0.01296	-0.03377	0.01177	0.99931	-0.03516	0.03420	0.03474	0.99881	
40	3.90000	12.29084	-5.06529	309.17666	-0.00375	0.02416	0.03883	0.17501	1.00000	0.00068	-0.00042	-0.00068	1.00000	-0.00007	0.00042	0.00007	1.00000		12.29084	-5.06529	309.17666	-1.99520	1.95603	-0.66579	0.68342	0.99935	-0.01280	-0.03370	0.01161	0.99931	-0.03521	0.03413	0.03480	0.99881	
41	4.00000	12.21418	-5.03546	309.14801	0.01125	0.03434	0.04025	0.18085	1.00000	0.00070	-0.00060	-0.00070	1.00000	0.00020	0.00060	-0.00020	1.00000		12.21418	-5.03546	309.14801	-1.98030	1.96612	-0.66403	0.68130	0.99934	-0.01277	-0.03389	0.01158	0.99932	-0.03495	0.03431	0.03454	0.99881	
42	4.10000	12.39879	-5.01508	309.17200	-0.00777	0.04939	0.04234	0.17089	1.00000	0.00074	-0.00086	-0.00074	1.00000	-0.00014	0.00086	0.00014	1.00000		12.39879	-5.01508	309.17200	-1.99931	1.98115	-0.66137	0.67734	0.99934	-0.01274	-0.03414	0.01154	0.99931	-0.03528	0.03457	0.03487	0.99879	
43	4.20000	12.18665	-5.07918	309.14907	-0.00477	0.00197	0.02444	0.16800	1.00000	0.00043	-0.00003	-0.00043	1.00000	-0.00008	0.00003	0.00008	1.00000		12.18665	-5.07918	309.14907	-1.99572	1.93435	-0.68096	0.70082	0.99936	-0.01305	-0.03332	0.01188	0.99931	-0.03522	0.03375	0.03481	0.99882	
44	4.30000	12.39063	-5.01256	309.20369	-0.01724	0.03649	0.01456	0.15535	1.00000	0.00025	-0.00064	-0.00025	1.00000	-0.00030	0.00064	0.00030	1.00000		12.39063	-5.01256	309.20369	-2.00786	1.96921	-0.68962	0.71129	0.99934	-0.01323	-0.03392	0.01203	0.99930	-0.03545	0.03436	0.03502	0.99880	
45	4.40000	12.21598	-5.06678	309.29938	-0.00583	0.01352	0.05220	0.16625	1.00000	0.00091	-0.00024	-0.00091	1.00000	-0.00010	0.00024	0.00010	1.00000		12.21598	-5.06678	309.29938	-1.99773	1.94489	-0.65278	0.70854	0.99936	-0.01257	-0.03352	0.01139	0.99931	-0.03524	0.03394	0.03484	0.99882	
46	4.50000	11.89312	-5.29035	309.39794	0.02721	-0.03831	0.08467	0.16392	1.00000	0.00148	0.00067	-0.00148	1.00000	0.00047	-0.00067	-0.00047	1.00000		11.89312	-5.29035	309.39794	-1.96567	1.89201	-0.62210	0.73129	0.99940	-0.01198	-0.03262	0.01085	0.99934	-0.03466	0.03302	0.03428	0.99887	
47	4.60000	11.60751	-5.47135	309.42169	0.04927	-0.09681	0.13477	0.16231	1.00000	0.00235	0.00169	-0.00235	1.00000	0.00086	-0.00169	-0.00086	1.00000		11.60751	-5.47135	309.42169	-1.94528	1.83176	-0.57405	0.72132	0.99944	-0.01110	-0.03160	0.01001	0.99936	-0.03426	0.03196	0.03393	0.99891	
48	4.70000	12.22391	-5.27952	309.56326	0.03782	0.02533	0.21757	0.16303	0.99999	0.00380	-0.00044	-0.00380	0.99999	0.00066	0.00044	-0.00066	1.00000		12.22391	-5.27952	309.56326	-1.95964	1.95098	-0.48702	0.70881	0.99938	-0.00966	-0.03373	0.00850	0.99937	-0.03448	0.03404	0.03418	0.99884	
49	4.80000	11.63067	-5.02201	309.54855	0.09671	-0.07067	0.27637	0.15115	0.99999	0.00482	0.00124	-0.00482	0.99999	0.00168	-0.00123	-0.00169	1.00000		11.63067	-5.02201	309.54855	-1.90260	1.85294	-0.43155	0.72090	0.99945	-0.00860	-0.03207	0.00753	0.99941	-0.03344	0.03233	0.03318	0.99893	
50	4.90000	10.94700	-5.49593	309.68207	0.16840	-0.19696	0.31806	0.17397	0.99998	0.00554	0.00345	-0.00555	0.99998	0.00292	-0.00344	-0.00294	0.99999		10.94700	-5.49593	309.68207	-1.83208	1.72524	-0.39419	0.74287	0.99952	-0.00784	-0.02987	0.00688	0.99946	-0.03218	0.03011	0.03196	0.99904	
51	5.00000	11.15324	-6.15801	309.55797	0.13037	-0.05908	0.33419	0.15640	0.99998	0.00583	0.00104	-0.00583	0.99998	0.00227	-0.00103	-0.00228	1.00000		11.15324	-6.15801	309.55797	-1.87080	1.86247	-0.37324	0.72997	0.99945	-0.00757	-0.03227	0.00651	0.99944	-0.03286	0.03250	0.03263	0.99894	
52	5.10000	10.36371	-6.65877	309.54754	0.15612	-0.16799	0.28361	0.16483	0.99998	0.00494	0.00295	-0.00495	0.99998	0.00271	-0.00293	-0.00272	0.99999		10.36371	-6.65877	309.54754	-1.84330	1.75543	-0.42768	0.72235	0.99950	-0.00845	-0.03038	0.00746	0.99945	-0.03239	0.03063	0.03215	0.99901	
53	5.20000	10.35806	-6.92828	309.97800	0.09924	0.11550	-0.11507	0.15497	1.00000	-0.00200	-0.00202	0.00201	1.00000	0.00173	0.00202	-0.00173	1.00000		10.35806	-6.92828	309.97800	-1.88715	2.05265	-0.81654	0.70943	0.99926	-0.01542	-0.03533	0.01424	0.99934	-0.03344	0.03582	0.03291	0.99882	
54	5.30000	11.38764	-6.98387	311.54908	0.21334	0.83891	-0.24730	0.17656	0.99988	-0.00426	-0.01466	0.00432	0.99998	0.00366	0.01464	-0.00372	0.99989		11.38764	-6.98387	311.54908	-1.76965	2.78019	-0.92373	0.70453	0.99869	-0.01761	-0.04798	0.01610	0.99937	-0.03166	0.04850	0.03085	0.99835	
55	5.40000	12.36620	-6.48935	313.45662	0.30039	1.20173	-0.14736	0.16581	0.99978	-0.00246	-0.02099	0.00257	0.99998	0.00519	0.02097	-0.00524	0.99977		12.36620	-6.48935	313.45662	-1.68659	3.13936	-0.81114	0.72531	0.99840	-0.01576	-0.05432	0.01414	0.99944	-0.03020	0.05476	0.02939	0.99807	
56	5.50000	12.52088	-6.70897	319.25521	0.78928	0.75920	-0.30035	0.18223	0.99990	-0.00506	-0.01332	0.00524	0.99989	0.01371	0.01325	-0.01377	0.99982		12.52088	-6.70897	319.25521	-1.19161	2.70241	-0.97950	0.72806	0.99874	-0.01807	-0.04678	0.01708	0.99962	-0.02160	0.04715	0.02077	0.99867	
57	5.60000	12.53584	-7.37541	329.61334	1.11451	0.03420	-0.45011	0.24349	0.99997	-0.00784	-0.00075	0.00786	0.99978	0.01945	0.00060	-0.01945	0.99981		12.53584	-7.37541	329.61334	-0.86027	1.98298	-1.15434	0.73558	0.99920	-0.02066	-0.03429	0.02013	0.99967	-0.01571	0.03460	0.01501	0.99929	
58	5.70000	14.35335	-8.79002	341.60932	1.25098	0.02278	-0.22897	0.25134	0.99999	-0.00399	-0.00048	0.00400	0.99975	0.02183	0.00040	-0.02183	0.99976		14.35335	-8.79002	341.60932	-0.73125	1.96398	-0.93360	0.72111	0.99928	-0.01673	-0.03406	0.01628	0.99978	-0.01332	0.03427	0.01275	0.99933	
59	5.80000	17.70691	-9.89237	353.95899	1.26052	0.29962	-0.19502	0.17480	0.99998	-0.00329	-0.00530	0.00340	0.99975	0.02198	0.00523	-0.02200	0.99974		17.70691	-9.89237	353.95899	-0.72326	2.23949	-0.89007	0.73088	0.99912	-0.01603	-0.03887	0.01552	0.99979	-0.01323	0.03908	0.01261	0.99916	
60	5.90000	22.55967	-9.47852	364.85836	1.01486	1.04838	-0.26119	0.17781	0.99982	-0.00423	-0.01837	0.00456	0.99983	0.01763	0.01830	-0.01771	0.99968		22.55967	-9.47852	364.85836	-0.96795	2.99008	-0.93037	0.68480	0.99851	-0.01712	-0.05187	0.01622	0.99971	-0.01774	0.05216	0.01687	0.99850	
61	6.00000	28.91504	-7.56014	375.60443	0.48697	2.00410	-0.62075	0.19884	0.99933	-0.01054	-0.03506	0.01083	0.99991	0.00812	0.03497	-0.00849	0.99935		28.91504	-7.56014	375.60443	-1.48556	3.95772	-1.25721	0.70151	0.99738	-0.02372	-0.06841	0.02189	0.99938	-0.02743	0.06902	0.02586	0.99728	
62	6.10000	36.44506	-4.56120	386.82973	-0.44759	3.14640	-0.78960	0.25804	0.99840	-0.01421	-0.05477	0.01376	0.99987	-0.00857	0.05489	0.00780	0.99846		36.44506	-4.56120	386.82973	-2.41757	5.10521	-1.38702	0.74304	0.99574	-0.02794	-0.08786	0.02411	0.99873	-0.04432	0.08898	0.04201	0.99515	
63	6.20000	43.62564	-0.30115	398.70286	-1.61543	3.93370	-0.61242	0.25685	0.99759	-0.01262	-0.06827	0.01066	0.99952	-0.02892	0.06860	0.02812	0.99725		43.62564	-0.30115	398.70286	-3.59391	5.88598	-1.18216	0.73400	0.99452	-0.02702	-0.10103	0.02052	0.99769	-0.06478	0.10255	0.06235	0.99277	
64	6.30000	49.39425	4.06390	412.04110	-2.33536	4.09327	-0.39064	0.26453	0.99743	-0.00972	-0.07104	0.00680	0.99913	-0.04123	0.07138	0.04064	0.99662		49.39425	4.06390	412.04110	-4.32208	6.03770	-0.95429	0.69383	0.99431	-0.02453	-0.10361	0.01656	0.99689	-0.07710	0.10518	0.07494	0.99162	
65	6.40000	52.99352	7.13809	428.67968	-2.00355	3.85287	-0.12661	0.30926	0.99774	-0.00456	-0.06708	0.00220	0.99938	-0.03511	0.06719	0.03488	0.99713		52.99352	7.13809	428.67968	-3.99826	5.78838	-0.69804	0.67755	0.99483	-0.01918	-0.09975	0.01212	0.99741	-0.07095	0.10085	0.06937	0.99248	
66	6.50000	53.46810	7.20354	446.19556	-0.39959	2.93923	0.44659	0.32313	0.99865	0.00744	-0.05133	-0.00778	0.99995	-0.00657	0.05128	0.00696	0.99866		53.46810	7.20354	446.19556	-2.41057	4.85531	-0.15580	0.80815	0.99641	-0.00628	-0.08445	0.00271	0.99910	-0.04229	0.08464	0.04191	0.99553	
67	6.60000	51.62678	4.64403	463.98282	1.53243	2.07641	0.39290	0.48906	0.99932	0.00782	-0.03604	-0.00685	0.99961	0.02699	0.03623	-0.02673	0.99899		51.62678	4.64403	463.98282	-0.47445	3.99468	-0.23981	0.74817	0.99756	-0.00476	-0.06963	0.00418	0.99995	-0.00857	0.06966	0.00826	0.99754	
68	6.70000	49.14624	0.02360	483.04439	3.15184	1.66546	0.27853	0.45227	0.99957	0.00645	-0.02875	-0.00486	0.99847	0.05512	0.02906	-0.05496	0.99807		49.14624	0.02360	483.04439	1.14969	3.58810	-0.36879	0.74220	0.99802	-0.00518	-0.06270	0.00642	0.99979	0.01966	0.06258	-0.02003	0.99784	
69	6.80000	46.71356	-6.06744	503.87004	4.35097	1.75938	0.67316	0.31108	0.99946	0.01404	-0.02972	-0.01174	0.99702	0.07622	0.03070	-0.07583	0.99665		46.71356	-6.06744	503.87004	2.33513	3.66802	0.02944	0.77951	0.99795	0.00312	-0.06390	-0.00051	0.99917	0.04078	0.06398	-0.04066	0.99712	
70	6.90000	44.76575	-11.26477	527.55176	4.80818	2.26100	1.01175	0.33515	0.99907	0.02090	-0.03783	-0.01764	0.99627	0.08450	0.03945	-0.08375	0.99571		44.76575	-11.26477	527.55176	2.77985	4.15741	0.38612	0.83425	0.99735	0.01025	-0.07208	-0.00672	0.99878	0.04899	0.07250	-0.04837	0.99620	
71	7.00000	42.55207	-14.18264	555.07160	4.64259	2.13245	0.64195	0.35126	0.99924	0.01418	-0.03618	-0.01120	0.99662	0.08135	0.03721	-0.08088	0.99603		42.55207	-14.18264	555.07160	2.62687	4.04195	0.01132	0.81690	0.99751	0.00343	-0.07040	-0.00020	0.99895	0.04585	0.07049	-0.04572	0.99646	
72	7.10000	40.29440	-15.32317	585.70451	4.17087	2.38421	-0.22720	0.41310	0.99913	-0.00093	-0.04178	0.00396	0.99736	0.07257	0.04160	-0.07267	0.99649		40.29440	-15.32317	585.70451	2.18374	4.32398	-0.85018	0.79679	0.99704	-0.01195	-0.07590	0.01480	0.99921	0.03698	0.07540	-0.03800	0.99643	
73	7.20000	39.64916	-14.45223	617.51688	3.44883	3.40483	-0.66972	0.37313	0.99817	-0.00809	-0.05998	0.01167	0.99816	0.05946	0.05939	-0.06005	0.99643		39.64916	-14.45223	617.51688	1.47397	5.35948	-1.25802	0.76661	0.99539	-0.01955	-0.09392	0.02186	0.99948	0.02367	0.09340	-0.02561	0.99530	
74	7.30000	40.68015	-11.75477	647.68648	2.37665	5.02202	-1.11412	0.42250	0.99597	-0.01580	-0.08825	0.01937	0.99902	0.03976	0.08754	-0.04131	0.99530		40.68015	-11.75477	647.68648	0.41121	6.99105	-1.64759	0.81564	0.99215	-0.02788	-0.12187	0.02854	0.99959	0.00367	0.12171	-0.00712	0.99254	
75	7.40000	41.36036	-8.14203	675.88033	2.02705	6.06861	-1.71849	0.52212	0.99395	-0.02623	-0.10667	0.02982	0.99904	0.03219	0.10572	-0.03517	0.99377		41.36036	-8.14203	675.88033	0.07780	8.05745	-2.21793	0.79553	0.98939	-0.03851	-0.14011	0.03832	0.99926	-0.00407	0.14017	-0.00134	0.99013	
